cod_parlamentario,name,deputy_photo,hemiciclo_image,facebook,instagram,twitter,website,url
51,Patricia Rodríguez Calleja,True,True,,,https://twitter.com/RodrguezCall,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=51&idLegislatura=XV&mostrarAgenda=false
52,Juan José Aizcorbe Torra,True,True,,,https://twitter.com/JuanjoAizcorbe,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=52&idLegislatura=XV&mostrarAgenda=false
53,José María Sánchez García,True,True,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=53&idLegislatura=XV&mostrarAgenda=false
54,Artemi Rallo Lombarte,True,True,https://www.facebook.com/profile.php?id=100010712202757,,https://twitter.com/ralloartemi,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=54&idLegislatura=XV&mostrarAgenda=false
55,Carlos Javier Floriano Corrales,True,True,,https://www.instagram.com/carlosfloriano67,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=55&idLegislatura=XV&mostrarAgenda=false
56,Luis Planas Puchades,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=56&idLegislatura=XV&mostrarAgenda=false
57,Santos Cerdán León,True,False,,,,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=57&idLegislatura=XV&mostrarAgenda=false
58,Susana Ros Martínez,True,True,https://www.facebook.com/susanarosmartinez,https://www.instagram.com/ros_susana_/,https://twitter.com/susana_ros,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=58&idLegislatura=XV&mostrarAgenda=false
59,Antonio Román Jasanada,True,True,https://www.facebook.com/antonio.roman.3154284,,https://twitter.com/AntonioRomanJ,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=59&idLegislatura=XV&mostrarAgenda=false
60,María Lourdes Ramírez Martín,True,True,https://www.facebook.com/lourdes.ramirezmartin,https://www.instagram.com/m.lourdesramirez/,https://twitter.com/mlourdesramirez,,https://www.congreso.es/es/busqueda-de-diputados?p_p_id=diputadomodule&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_diputadomodule_mostrarFicha=true&codParlamentario=60&idLegislatura=XV&mostrarAgenda=false
