metadata_deputy_id,personal_apellidos,personal_nombre,personal_circunscripcion,personal_fecha_eleccion,metadata_tipo_declaracion,seccion,item_index,actividad_periodo,actividad_empleador,actividad_sector,actividad_descripcion,donacion_benefactor,donacion_descripcion,fundacion_destinatario,fundacion_descripcion,otros_texto,firma_fecha,metadata_archivo_origen
000183,Alía Aguado,María Pilar,Toledo,9 de agosto de 2023,,actividades,0.0,,Universidad de Castilla-La Mancha,Docencia,"Profesora Asociada en el Departamento de Economía Política y Hacienda Pública, con contrato a tiempo parcial (3 horas semanales).",,,,,,,deputy_000183_interests_registro_intereses_diputado_183.pdf
000183,Alía Aguado,María Pilar,Toledo,9 de agosto de 2023,,actividades,1.0,,Setep Toledo S.L. y Abaco Consultores y Asesores Tributarios S.L.,Asesoría,"Actividad profesional de economista, especializada en asesoría fiscal, contable, mercantil y laboral a empresas privadas y particulares.",,,,,,,deputy_000183_interests_registro_intereses_diputado_183.pdf
000184,Velasco Retamosa,José Manuel,Toledo,9 de agosto de 2023,,actividades,0.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Ayuntamiento de Toledo,Cargos públicos,"Concejal en el Ayuntamiento de Toledo, sin dedicación exclusiva.",,,,,,,deputy_000184_interests_registro_intereses_diputado_184.pdf
000184,Velasco Retamosa,José Manuel,Toledo,9 de agosto de 2023,,actividades,1.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Universidad de Castilla-La Mancha (UCLM),Actividades públicas a las que ha renunciado,"Profesor Titular de la Universidad de Castilla-La Mancha (UCLM) y, desde el 1 de agosto de 2023, en situación de servicios especiales, percibiendo el correspondiente complemento por antigüedad.",,,,,,,deputy_000184_interests_registro_intereses_diputado_184.pdf
000184,Velasco Retamosa,José Manuel,Toledo,9 de agosto de 2023,,actividades,2.0,Fecha del acuerdo plenario definitivo: 19.12.2023,Partido Popular de Toledo,Cargos en partidos ó grupos parlamentarios,"Coordinador General del Partido Popular de Toledo, sin percepción de retribuciones, dietas o indemnizaciones.",,,,,,,deputy_000184_interests_registro_intereses_diputado_184.pdf
000184,Velasco Retamosa,José Manuel,Toledo,9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"1. Declaración de Actividades, de 9 de agosto de 2023
2. Declaración de Actividades, de 8 de noviembre de 2023",,deputy_000184_interests_registro_intereses_diputado_184.pdf
000185,Armengol Socias,Francina,Balears (Illes),9 de agosto de 2023,,actividades,0.0,,PSIB-PSOE,Cargos en partidos ó grupos parlamentarios,"Secretaria General del PSIB-PSOE, cargo orgánico no retribuido económicamente.",,,,,,,deputy_000185_interests_registro_intereses_diputado_185.pdf
000185,Armengol Socias,Francina,Balears (Illes),9 de agosto de 2023,,actividades,1.0,,PSOE,Cargos en partidos ó grupos parlamentarios,"Miembro del Comité Federal del PSOE, cargo orgánico no retribuido económicamente.",,,,,,,deputy_000185_interests_registro_intereses_diputado_185.pdf
000186,Herrera García,Milena,Balears (Illes),9 de agosto de 2023,,actividades,0.0,,Comisión Ejecutiva de la FSE-PSOE y del PSIB/PSOE,,"Miembro de la Comisión Ejecutiva de la FSE-PSOE y del PSIB/PSOE, ambas sin retribución.",,,,,,,deputy_000186_interests_registro_intereses_diputado_186.pdf
000187,Corujo Berriel,María Dolores,Palmas (Las),9 de agosto de 2023,,actividades,0.0,,Cabildo de Lanzarote,Cargos públicos,"Consejera del Cabildo de Lanzarote, sin dedicación exclusiva, sin percibir ningún tipo de remuneración, salvo indemnización por asistencia a órganos de la Corporación.",,,,,,,deputy_000187_interests_registro_intereses_diputado_187.pdf
000187,Corujo Berriel,María Dolores,Palmas (Las),9 de agosto de 2023,,actividades,1.0,,Parlamento canario,Actividades públicas a las que ha renunciado,"Diputada del Parlamento canario y, desde el 7 de agosto de 2023, en fecha del acuerdo plenario definitivo: 19.12.2023, situación de cese.",,,,,,,deputy_000187_interests_registro_intereses_diputado_187.pdf
000187,Corujo Berriel,María Dolores,Palmas (Las),9 de agosto de 2023,,actividades,2.0,,PSOE,Cargos en partidos ó grupos parlamentarios,"Secretaria Insular del PSOE en Lanzarote, sin remuneración ni fecha del acuerdo plenario definitivo: 19.12.2023, dietas.",,,,,,,deputy_000187_interests_registro_intereses_diputado_187.pdf
000187,Corujo Berriel,María Dolores,Palmas (Las),9 de agosto de 2023,,otros_intereses,0.0,,,,,,,,,"Declaración de Actividades, de 9 de agosto de 2023. La autorización de esta actividad se realiza con la cautela de que no suponga el desempeño de otro puesto público o privado o incurra en algunas de las actividades prohibidas del artículo 159.2 LOREG. Las actividades privadas se autorizan en la medida en que no incurran en los supuestos del artículo 159.2 de la LOREG, con las cautelas de no invocar la condición de parlamentario, no menoscabar la dedicación parlamentaria, y no incurrir en actividades prohibidas del artículo 159.2.",,deputy_000187_interests_registro_intereses_diputado_187.pdf
